Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min],Machine failure
True,False,309.4,9.6,1475,43.4,6703.64,51,0
True,False,309.4,9.6,1630,32.4,5530.46,53,0
True,False,309.4,9.7,1445,42.9,6491.63,55,0
False,True,309.4,9.6,1439,47.4,7142.79,57,0
True,False,309.3,9.6,1420,44.1,6557.76,60,0
False,False,309.2,9.5,1554,41.6,6769.76,62,0
False,True,309.1,9.5,1471,44.3,6824.09,67,0
True,False,309.0,9.4,1648,33.6,5798.63,70,0
True,False,309.0,9.4,1472,48.8,7522.4,72,0
False,True,308.9,9.4,1448,42.9,6505.11,74,0
False,True,308.9,9.3,1568,35.3,5796.28,77,0
True,False,308.9,9.3,1613,30.8,5202.52,80,0
False,True,308.9,9.2,1551,35.4,5749.68,82,0
True,False,309.0,9.3,1412,49.2,7274.92,85,0
False,True,308.9,9.2,1478,41.0,6345.81,87,0
False,True,309.1,9.3,1268,58.0,7701.51,90,0
True,False,309.1,9.3,1546,35.6,5763.52,93,0
True,False,309.0,9.2,1567,36.1,5923.86,95,0
False,True,309.2,9.3,1548,35.7,5787.19,97,0
True,False,309.0,9.2,1614,30.8,5205.74,100,0
False,True,309.1,9.4,1352,46.1,6526.89,102,0
True,False,309.2,9.3,1624,34.6,5884.24,105,0
True,False,309.2,9.3,1436,52.0,7819.63,107,0
True,False,309.2,9.4,1591,37.5,6247.84,109,0
False,False,309.2,9.4,1435,42.6,6401.62,111,0
True,False,309.3,9.5,1386,49.4,7169.99,116,0
True,False,309.2,9.5,1401,54.1,7937.14,118,0
False,True,309.0,9.4,1245,64.0,8344.07,120,0
True,False,309.1,9.4,1475,40.0,6178.47,123,0
True,False,309.1,9.4,1473,39.4,6077.54,125,0
False,False,309.2,9.5,1355,44.8,6356.91,127,0
False,False,309.2,9.5,1468,49.6,7624.94,132,0
True,False,309.2,9.5,1645,30.8,5305.73,137,0
True,False,309.1,9.4,1347,55.3,7800.48,139,0
True,False,309.1,9.4,1713,33.5,6009.4,141,0
False,True,309.1,9.5,1435,48.4,7273.21,143,0
False,True,309.0,9.4,1736,26.1,4744.81,146,0
True,False,309.0,9.4,1372,60.4,8678.0,149,0
True,False,309.0,9.3,1605,33.0,5546.48,151,0
True,False,309.0,9.4,1413,48.5,7176.5,153,0
False,True,309.0,9.3,1645,31.9,5495.22,155,0
False,True,309.0,9.3,1465,49.0,7517.31,158,0
False,True,308.9,9.3,1685,27.8,4905.39,161,0
True,False,308.8,9.3,1965,20.4,4197.8,164,0
False,False,308.6,9.2,1542,41.8,6749.77,166,0
True,False,308.7,9.3,1681,30.8,5421.84,171,0
True,False,308.7,9.2,1446,45.7,6920.11,173,0
True,False,308.6,9.2,1415,56.4,8357.26,175,0
True,False,308.6,9.1,1672,30.5,5340.29,177,0
True,False,308.7,9.2,2549,13.0,3470.1,179,1
True,False,308.6,9.2,1492,40.5,6327.8,181,0
False,True,308.6,9.2,1455,42.7,6506.08,183,0
False,True,308.5,9.2,1422,43.1,6418.09,186,0
True,False,308.6,9.3,1403,50.6,7434.24,189,0
True,False,308.6,9.3,1474,49.6,7656.1,191,0
True,False,308.6,9.4,1381,50.0,7230.9,193,0
True,False,308.5,9.3,1457,44.7,6820.18,195,0
True,False,308.4,9.2,1711,28.9,5178.17,197,0
True,False,308.4,9.2,1667,29.0,5062.47,199,0
True,False,308.4,9.2,1465,35.0,5369.51,201,0
False,True,308.4,9.1,1542,37.5,6055.42,203,1
False,True,308.4,9.1,1438,42.3,6369.83,0,0
True,False,308.4,9.1,1406,47.4,6978.99,3,0
False,True,308.4,9.2,1396,48.5,7090.16,5,0
False,True,308.5,9.2,1304,60.6,8275.21,8,0
True,False,308.5,9.3,1442,46.5,7021.77,11,0
False,True,308.4,9.2,1396,48.7,7119.39,13,0
False,False,308.3,9.2,1424,43.4,6471.85,16,0
False,False,308.3,9.2,1451,42.8,6503.39,21,0
True,False,308.4,9.2,1386,54.1,7852.16,26,0
True,False,308.3,9.2,1325,46.9,6507.55,28,0
True,False,308.3,9.2,1559,33.7,5501.8,30,0
True,False,308.3,9.2,1489,38.1,5940.85,32,0
True,False,308.3,9.2,1892,25.2,4992.87,34,0
True,False,308.2,9.1,1319,60.3,8328.96,36,0
True,False,308.3,9.2,1431,52.3,7837.36,38,0
False,False,308.3,9.2,1521,36.5,5813.67,40,0
False,True,308.2,9.1,1435,45.2,6792.33,45,0
True,False,308.3,9.2,1533,42.4,6806.7,48,0
False,True,308.4,9.2,1529,43.0,6885.01,50,0
False,True,308.4,9.2,1415,43.5,6445.76,53,0
False,True,308.4,9.2,1330,51.2,7131.0,56,0
True,False,308.5,9.3,1381,60.6,8763.85,59,0
True,False,308.5,9.3,1370,52.4,7517.62,61,0
True,False,308.5,9.3,1438,46.6,7017.35,63,0
True,False,308.6,9.3,1314,48.2,6632.4,65,0
True,False,308.6,9.3,1437,48.1,7238.2,67,0
True,False,308.5,9.3,1821,26.1,4977.13,69,0
False,True,308.6,9.3,1448,52.1,7900.14,71,0
True,False,308.5,9.2,1589,32.7,5441.27,74,0
True,False,308.6,9.3,1520,33.7,5364.16,76,0
True,False,308.6,9.3,1605,37.0,6218.78,78,0
True,False,308.7,9.4,1393,54.2,7906.4,80,0
False,False,308.7,9.4,1408,44.4,6546.58,82,0
False,True,308.7,9.4,1459,35.6,5439.19,87,0
True,False,308.7,9.3,1525,39.0,6228.21,90,0
True,False,308.8,9.4,1390,57.0,8296.95,92,0
True,False,308.7,9.4,1536,38.9,6257.05,94,0
True,False,308.7,9.3,1459,47.6,7272.62,96,0
True,False,308.5,9.3,1387,51.1,7422.09,98,0
True,False,308.5,9.3,1378,53.4,7705.82,100,0
True,False,308.7,9.3,1381,56.7,8199.84,102,0
False,True,308.7,9.3,1289,60.5,8166.52,104,0
True,False,308.6,9.2,1746,26.8,4900.13,107,0
False,True,308.6,9.2,1541,39.1,6309.69,109,0
True,False,308.7,9.3,1504,37.8,5953.44,112,0
False,True,308.7,9.2,1321,51.9,7179.58,114,0
False,True,308.8,9.3,1886,20.9,4127.78,117,0
True,False,308.9,9.3,1422,53.2,7922.09,120,0
True,False,308.9,9.4,1520,38.3,6096.37,122,0
True,False,308.8,9.4,1627,32.6,5554.36,124,0
True,False,308.7,9.3,1512,37.2,5890.11,126,0
True,False,308.7,9.3,1553,42.7,6944.29,128,0
True,False,308.7,9.4,1802,26.0,4906.33,130,0
True,False,308.6,9.3,1482,37.6,5835.32,132,0
True,False,308.7,9.3,1446,62.9,9524.62,134,1
True,False,308.6,9.3,1371,50.5,7250.32,136,0
False,True,308.6,9.4,1586,35.7,5929.25,138,0
True,False,308.5,9.3,1515,39.8,6314.29,141,0
True,False,308.5,9.3,1374,53.6,7712.23,143,0
True,False,308.5,9.4,1455,39.8,6064.22,145,0
False,False,308.5,9.3,1342,47.5,6675.36,147,0
True,False,308.6,9.5,1260,57.8,7626.53,152,0
False,False,308.5,9.5,1623,33.5,5693.67,154,0
True,False,308.5,9.4,1371,55.5,7968.18,159,0
True,False,308.6,9.5,1611,31.4,5297.29,161,0
False,True,308.4,9.4,1535,47.5,7635.38,163,0
False,True,308.6,9.5,1491,38.5,6011.28,166,0
False,True,308.6,9.5,1441,36.2,5462.62,169,0
False,True,308.8,9.7,1725,26.6,4805.07,172,0
True,False,308.9,9.7,1368,47.2,6761.71,175,0
True,False,308.9,9.7,1526,37.9,6056.51,177,0
True,False,308.8,9.6,1542,39.2,6329.93,179,0
True,False,308.8,9.6,1605,31.1,5227.14,181,0
True,False,308.8,9.6,1405,51.4,7562.55,183,0
False,True,308.8,9.6,1700,33.5,5963.79,185,0
False,False,308.8,9.6,1440,39.1,5896.14,188,0
False,True,308.8,9.6,1314,52.5,7224.09,193,0
True,False,308.7,9.5,1514,41.9,6643.07,196,0
False,True,308.7,9.5,1401,47.0,6895.48,198,0
True,False,308.8,9.5,1636,29.9,5122.51,201,0
True,False,308.8,9.5,1603,33.9,5690.65,203,0
False,True,308.7,9.3,1487,52.6,8190.78,205,0
False,True,308.7,9.4,1420,50.3,7479.71,208,0
True,False,308.7,9.4,1579,36.3,6002.3,211,0
True,False,308.7,9.4,1484,40.5,6293.87,213,0
False,True,308.7,9.4,1390,49.3,7176.13,215,0
True,False,308.6,9.3,1384,53.6,7768.36,218,1
True,False,308.5,9.3,1378,50.4,7272.91,220,1
True,False,308.5,9.3,1445,45.2,6839.67,222,0
True,False,308.4,9.2,1445,43.5,6582.42,224,0
True,False,308.4,9.2,1509,39.4,6226.07,0,0
True,False,308.4,9.2,1434,46.8,7027.87,2,0
True,False,308.4,9.2,1877,23.9,4697.76,4,0
True,False,308.3,9.0,1651,28.0,4840.98,6,0
True,False,308.2,9.0,1466,41.3,6340.34,8,0
True,False,308.1,9.0,1479,40.7,6303.64,10,0
True,False,308.2,9.1,1409,46.4,6846.33,12,0
False,True,308.2,9.0,1674,28.2,4943.48,14,0
True,False,308.3,9.2,1305,61.4,8390.88,17,0
False,True,308.3,9.1,1755,26.4,4851.88,19,0
True,False,308.4,9.2,1475,38.7,5977.67,22,0
True,False,308.4,9.2,1402,47.7,7003.18,24,0
True,False,308.3,9.1,1410,43.0,6349.16,26,0
True,False,308.4,9.2,1436,41.8,6285.78,28,0
False,True,308.5,9.2,1386,42.2,6124.97,30,0
True,False,308.6,9.3,1744,26.4,4821.47,33,0
True,False,308.4,9.2,1393,48.4,7060.33,35,0
False,True,308.5,9.2,1422,45.4,6760.58,37,0
True,False,308.4,9.2,1841,22.8,4395.59,40,0
True,False,308.6,9.3,1433,37.7,5657.39,42,0
False,True,308.5,9.2,1305,60.6,8281.55,44,0
False,False,308.6,9.3,1498,39.5,6196.37,47,0
True,False,308.5,9.2,1772,26.1,4843.2,52,0
False,True,308.4,9.2,1381,42.5,6146.26,54,0
True,False,308.5,9.2,1413,38.5,5696.81,57,0
False,False,308.4,9.2,1388,53.2,7732.67,59,0
False,True,308.6,9.4,1631,35.4,6046.25,64,0
False,False,308.6,9.3,1520,41.4,6589.8,67,0
True,False,308.5,9.2,1510,45.4,7178.96,72,0
True,False,308.5,9.3,1366,49.7,7109.45,74,0
True,False,308.5,9.1,1845,22.9,4424.46,76,0
True,False,308.5,9.2,1485,44.7,6951.24,78,0
False,True,308.5,9.2,1496,39.4,6172.43,80,0
False,True,308.4,9.1,1468,42.2,6487.35,83,0
False,True,308.4,9.2,1856,22.7,4411.97,86,0
True,False,308.4,9.2,1620,34.1,5784.93,89,0
True,False,308.5,9.2,1409,44.8,6610.25,91,0
False,True,308.5,9.2,1404,49.4,7263.11,93,0
True,False,308.4,9.2,1350,51.3,7252.37,96,0
False,True,308.4,9.2,1538,38.0,6120.24,98,0
False,True,308.4,9.2,1476,32.7,5054.32,101,0
False,True,308.3,9.1,1364,51.8,7399.0,104,0
False,True,308.3,9.1,1582,45.5,7537.83,107,0
True,False,308.2,9.1,1348,56.1,7919.2,110,0
False,False,308.2,9.1,1450,46.1,6999.99,112,0
True,False,308.1,9.1,1242,60.9,7920.77,117,0
True,False,308.2,9.1,1493,34.9,5456.5,119,0
True,False,308.3,9.2,1601,31.4,5264.41,121,0
True,False,308.2,9.1,1568,33.3,5467.88,123,0
False,True,308.3,9.2,1506,38.0,5992.9,125,0
True,False,308.3,9.2,1524,34.1,5442.12,128,0
True,False,308.4,9.3,1543,37.9,6123.98,130,0
False,True,308.5,9.3,1474,47.2,7285.65,132,0
False,True,308.5,9.3,1526,37.3,5960.63,135,0
True,False,308.5,9.3,1867,27.0,5278.82,138,0
True,False,308.5,9.3,1487,41.2,6415.59,140,0
True,False,308.4,9.2,1580,32.6,5393.91,142,0
True,False,308.5,9.3,1340,50.0,7016.22,144,0
True,False,308.5,9.3,1544,41.6,6726.19,146,0
True,False,308.5,9.3,1488,40.3,6279.67,148,0
False,True,308.5,9.3,1742,28.9,5271.99,150,0
False,True,308.5,9.4,1592,34.2,5701.61,153,0
True,False,308.6,9.4,1582,38.8,6427.87,156,0
True,False,308.5,9.3,1490,43.2,6740.6,158,0
False,True,308.5,9.3,1594,35.8,5975.85,160,0
False,False,308.6,9.4,1462,55.0,8420.52,163,0
False,True,308.6,9.4,1367,47.6,6814.03,168,0
True,False,308.7,9.5,1325,51.0,7076.44,171,0
False,False,308.7,9.5,1448,51.4,7794.0,173,0
False,True,308.7,9.6,2008,20.3,4268.63,178,0
True,False,308.7,9.6,1498,38.9,6102.25,181,0
True,False,308.6,9.5,1437,41.6,6260.06,183,0
False,True,308.6,9.5,1499,45.1,7079.57,185,0
True,False,308.4,9.4,1356,52.6,7469.2,188,0
True,False,308.5,9.4,1539,46.8,7542.46,190,0
True,False,308.5,9.4,1689,32.1,5677.58,192,0
True,False,308.5,9.5,1559,38.1,6220.13,194,0
True,False,308.6,9.5,1408,46.7,6885.7,196,0
True,False,308.5,9.5,1886,23.0,4542.53,198,0
True,False,308.5,9.4,1415,43.4,6430.94,0,0
False,True,308.5,9.4,1587,35.6,5916.37,2,0
True,False,308.4,9.4,1571,38.6,6350.27,5,0
True,False,308.3,9.4,1576,36.6,6040.4,7,0
True,False,308.3,9.4,1660,34.4,5979.92,9,0
False,True,308.2,9.3,1328,49.2,6842.14,11,0
False,False,308.2,9.4,1450,44.7,6787.41,14,0
True,False,308.2,9.3,2384,15.0,3744.78,19,0
True,False,308.2,9.4,1443,53.4,8069.31,21,0
False,True,308.2,9.3,2022,20.0,4234.87,23,0
True,False,308.2,9.3,1828,23.8,4555.98,26,0
True,False,308.1,9.3,1472,53.5,8246.89,28,0
False,True,308.2,9.3,1372,63.6,9137.76,30,1
True,False,308.3,9.4,1855,23.8,4623.27,33,0
False,True,308.3,9.3,1377,47.2,6806.2,35,0
True,False,308.3,9.4,1432,48.9,7332.98,38,0
False,True,308.2,9.3,1335,47.8,6682.48,40,0
False,True,308.2,9.3,1411,51.3,7580.07,43,0
True,False,308.2,9.3,1510,43.5,6878.52,46,0
True,False,308.3,9.3,1441,44.0,6639.65,48,0
False,True,308.2,9.2,1358,42.7,6072.34,50,0
True,False,308.2,9.3,1686,30.4,5367.35,53,0
False,False,308.2,9.2,1662,30.4,5290.94,55,0
True,False,308.3,9.2,1426,40.1,5988.15,60,0
False,True,308.4,9.3,1330,53.6,7465.26,62,0
True,False,308.4,9.3,1693,31.6,5602.38,65,0
True,False,308.4,9.3,1426,47.9,7152.92,67,0
True,False,308.5,9.4,1676,31.0,5440.82,69,0
False,True,308.4,9.3,1332,51.7,7211.46,71,0
True,False,308.5,9.4,1647,35.0,6036.57,74,0
True,False,308.6,9.4,1267,68.2,9048.77,76,1
False,False,308.7,9.5,1375,55.1,7933.83,78,0
True,False,308.6,9.3,1422,48.9,7281.77,83,0
True,False,308.7,9.4,1408,48.7,7180.59,85,0
True,False,308.9,9.5,1440,42.5,6408.85,87,0
True,False,308.8,9.5,1772,25.2,4676.2,89,0
True,False,308.7,9.5,1492,37.8,5905.94,91,0
True,False,308.7,9.5,1650,30.5,5270.02,93,0
False,True,308.6,9.5,2329,14.6,3560.83,95,0
True,False,308.6,9.6,1648,30.8,5315.41,98,0
True,False,308.6,9.6,1653,31.7,5487.33,100,0
True,False,308.6,9.6,1946,22.3,4544.4,102,0
True,False,308.6,9.5,1555,36.6,5959.92,104,0
True,False,308.6,9.6,1661,32.2,5600.85,106,0
True,False,308.6,9.6,1434,45.9,6892.72,108,0
True,False,308.6,9.6,1297,54.2,7361.53,110,0
True,False,308.6,9.6,1466,46.4,7123.29,112,0
False,True,308.6,9.7,1517,39.8,6322.62,114,0
True,False,308.5,9.6,1742,34.5,6293.55,117,0
True,False,308.5,9.6,1580,39.1,6469.38,119,0
False,True,308.5,9.6,1534,42.9,6891.46,121,0
True,False,308.6,9.7,1481,40.7,6312.16,124,0
True,False,308.6,9.6,1429,37.7,5641.6,126,0
False,True,308.6,9.7,1574,33.5,5521.77,128,0
False,True,308.6,9.7,1524,40.4,6447.55,131,0
True,False,308.7,9.7,1507,37.5,5917.98,134,0
True,False,308.5,9.6,1467,44.7,6866.99,136,0
True,False,308.4,9.5,1301,51.1,6961.88,138,0
True,False,308.5,9.6,1429,55.1,8245.41,140,0
False,True,308.5,9.6,1555,37.6,6122.75,142,0
True,False,308.5,9.6,1503,40.6,6390.19,145,0
True,False,308.5,9.6,1459,43.1,6585.08,147,0
False,False,308.4,9.5,1449,42.4,6433.73,149,0
True,False,308.5,9.6,1387,57.3,8322.61,154,0
False,True,308.5,9.6,1456,50.0,7623.6,156,0
True,False,308.5,9.5,1604,34.7,5828.58,159,0
True,False,308.6,9.6,1734,32.4,5883.32,161,0
True,False,308.6,9.6,1378,47.8,6897.72,163,0
True,False,308.7,9.8,1504,41.8,6583.44,165,0
False,True,308.7,9.8,1402,49.8,7311.49,167,0
False,False,308.6,9.8,1524,37.7,6016.65,170,0
True,False,308.6,9.8,1593,35.5,5922.06,175,0
False,True,308.7,9.8,1772,28.4,5270.0,177,0
False,False,308.6,9.7,1623,31.0,5268.77,180,0
True,False,308.7,9.8,1356,50.7,7199.4,185,0
False,False,308.7,9.8,1500,41.6,6534.51,187,0
False,False,308.8,9.7,1566,46.6,7641.99,192,0
True,False,308.9,9.8,1445,43.4,6567.29,197,0
False,False,308.8,9.8,1382,58.5,8466.28,199,0
False,True,308.8,9.8,1418,45.7,6786.11,204,0
True,False,308.8,9.7,1329,53.6,7459.65,207,1
False,True,308.8,9.7,1491,41.0,6401.62,209,0
False,True,308.9,9.7,1573,37.4,6160.68,212,0
False,True,308.9,9.7,1521,42.3,6737.49,215,0
True,False,308.9,9.8,1467,47.2,7251.05,218,0
False,True,308.9,9.8,1325,48.4,6715.68,220,0
True,False,308.9,9.8,1617,32.3,5469.42,223,0
False,True,308.9,9.8,1476,42.7,6599.98,225,0
True,False,309.0,9.8,1515,48.9,7758.01,228,1
True,False,309.0,9.8,1408,47.2,6959.42,0,0
True,False,309.1,9.9,1468,45.6,7010.02,2,0
True,False,309.1,9.9,1387,48.7,7073.49,4,0
False,True,309.1,9.9,1503,34.7,5461.56,6,0
False,False,309.1,9.9,1410,47.1,6954.54,9,0
True,False,308.9,9.9,1615,30.6,5175.15,14,0
True,False,308.9,9.9,1511,35.9,5680.51,16,0
True,False,309.0,9.9,1405,53.8,7915.66,18,0
False,True,308.9,9.9,1526,41.1,6567.88,20,0
True,False,308.8,9.9,1530,38.3,6136.47,23,0
True,False,308.7,9.7,1583,32.5,5387.57,25,0
True,False,308.6,9.7,2069,18.7,4051.64,27,0
True,False,308.5,9.7,1490,35.0,5461.14,29,0
True,False,308.5,9.7,1736,29.0,5272.01,31,0
True,False,308.5,9.7,1395,44.4,6486.13,33,0
False,True,308.6,9.7,1425,49.6,7401.59,35,0
True,False,308.6,9.8,1631,32.4,5533.85,38,0
True,False,308.6,9.8,1535,41.2,6622.69,40,0
True,False,308.6,9.8,1584,34.4,5706.14,42,0
False,True,308.7,9.9,1543,38.2,6172.45,44,0
True,False,308.7,9.9,1635,35.2,6026.83,47,0
False,True,308.7,9.9,1446,45.5,6889.83,49,0
False,True,308.6,9.8,1598,35.1,5873.71,52,0
True,False,308.6,9.8,1501,35.0,5501.45,55,0
True,False,308.5,9.7,1450,50.8,7713.66,57,0
True,False,308.6,9.8,1730,25.9,4692.18,59,0
False,True,308.6,9.8,1571,33.7,5544.15,61,0
True,False,308.7,9.8,1438,51.7,7785.35,64,0
False,True,308.5,9.7,1510,38.7,6119.51,66,0
True,False,308.7,9.8,1389,44.9,6530.96,69,0
True,False,308.7,9.9,1490,33.6,5242.69,71,0
True,False,308.7,9.8,1729,26.6,4816.21,73,0
True,False,308.8,9.8,1495,38.4,6011.75,75,0
True,False,308.8,9.9,1281,53.9,7230.47,77,0
False,False,308.7,9.8,1353,48.1,6815.09,79,0
True,False,308.8,9.7,1429,50.1,7497.19,84,0
True,False,308.8,9.7,1413,42.1,6229.5,86,0
True,False,308.8,9.7,1502,38.3,6024.17,88,0
False,False,308.8,9.7,1553,32.6,5301.73,90,0
False,False,308.9,9.7,1712,26.4,4733.0,95,0
True,False,309.0,9.7,1786,23.5,4395.19,100,0
True,False,309.0,9.8,1951,21.4,4372.2,102,0
False,True,309.0,9.8,1541,36.3,5857.85,104,0
True,False,309.1,9.9,1605,34.3,5764.98,107,0
True,False,309.1,9.9,1578,38.1,6295.94,109,0
False,True,309.2,9.9,1440,37.5,5654.87,111,0
True,False,309.2,9.8,1489,42.3,6595.74,114,0
True,False,309.3,9.9,1366,48.4,6923.48,116,0
True,False,309.2,9.9,1541,37.2,6003.08,118,0
False,False,309.1,9.8,1552,40.7,6614.77,120,0
True,False,309.1,9.8,1473,40.3,6216.36,125,0
True,False,309.1,9.8,1531,37.9,6076.35,127,0
True,False,309.2,9.9,1511,37.2,5886.21,129,0
False,True,309.1,9.8,1449,47.9,7268.29,131,0
False,True,309.1,9.7,1440,50.0,7539.82,134,0
False,True,309.0,9.8,1881,23.9,4707.77,137,0
True,False,309.0,9.7,1447,50.4,7637.09,140,0
False,True,309.1,9.7,1326,62.0,8609.22,142,0
True,False,309.2,9.8,1607,31.7,5334.62,145,0
True,False,309.1,9.8,1551,39.1,6350.64,147,0
True,False,309.1,9.8,1496,37.2,5827.78,149,0
True,False,309.1,9.8,1493,38.0,5941.17,151,0
True,False,309.1,9.7,1304,50.5,6896.01,153,0
False,True,309.0,9.7,1420,41.6,6186.01,155,0
True,False,309.1,9.7,1766,24.6,4549.4,158,0
True,False,309.2,9.6,1450,43.1,6544.46,160,0
False,False,309.2,9.7,1872,22.6,4430.4,162,0
True,False,309.2,9.6,1713,26.5,4753.7,167,0
False,True,309.2,9.7,1497,40.9,6411.71,169,0
False,True,309.1,9.7,1352,44.7,6328.68,172,0
True,False,309.2,9.7,1499,41.5,6514.46,175,0
True,False,309.3,9.8,1972,19.3,3985.59,177,0
True,False,309.3,9.8,1422,49.2,7326.45,179,0
True,False,309.3,9.8,1523,41.5,6618.76,181,0
True,False,309.4,9.9,1563,41.5,6792.59,183,0
True,False,309.3,9.9,1391,46.6,6788.0,185,0
True,False,309.1,9.8,1795,24.7,4642.91,187,0
True,False,309.1,9.8,1293,53.7,7271.12,189,0
True,False,309.1,9.9,1345,60.7,8549.48,191,1
True,False,309.0,9.8,1615,33.7,5699.43,193,0
True,False,308.9,9.7,1342,50.8,7139.12,195,0
True,False,308.8,9.7,1502,46.7,7345.4,197,0
False,True,308.7,9.7,1620,35.4,6005.47,199,0
True,False,308.7,9.7,1537,42.8,6888.84,202,0
True,False,308.7,9.7,2248,16.8,3954.89,204,0
True,False,308.7,9.7,1706,28.6,5109.44,206,0
True,False,308.7,9.7,2250,16.6,3911.28,208,0
True,False,308.7,9.7,1396,48.6,7104.77,0,0
True,False,308.6,9.7,1522,46.4,7395.39,2,0
True,False,308.6,9.7,1539,45.4,7316.83,4,0
False,False,308.5,9.6,1415,54.0,8001.64,6,0
True,False,308.5,9.7,1446,37.0,5602.72,11,0
False,True,308.6,9.8,1486,41.1,6395.72,13,0
True,False,308.7,9.7,1426,38.6,5764.15,16,0
True,False,308.7,9.7,1449,38.9,5902.64,18,0
True,False,308.8,9.7,1320,67.5,9330.53,20,1
False,True,308.9,9.7,1447,39.6,6000.57,22,0
True,False,309.0,9.7,1422,47.3,7043.51,25,0
True,False,309.1,9.8,1399,52.1,7632.8,27,0
True,False,309.2,9.8,1427,41.5,6201.56,29,0
False,True,309.2,9.9,1334,46.3,6467.93,31,0
False,True,309.1,9.8,1385,45.6,6613.68,34,0
True,False,309.2,9.8,1552,37.4,6078.44,37,0
False,False,309.3,9.9,1534,37.5,6024.0,39,0
True,False,309.3,9.9,1448,48.6,7369.42,44,0
True,False,309.3,9.8,1409,44.7,6595.49,46,0
True,False,309.2,9.8,1621,34.5,5856.4,48,0
False,False,309.1,9.7,1547,40.9,6625.86,50,0
True,False,309.1,9.7,1957,22.1,4529.1,55,0
True,False,309.1,9.7,2421,14.2,3600.08,57,0
False,True,309.1,9.8,1571,38.3,6300.91,59,0
True,False,309.1,9.8,1634,36.8,6296.92,62,0
True,False,309.0,9.7,1516,38.7,6143.82,64,0
True,False,309.1,9.7,1207,66.5,8405.38,66,0
True,False,309.1,9.7,1670,35.9,6278.26,68,0
False,True,309.1,9.7,1461,48.6,7435.58,70,0
True,False,309.2,9.8,1569,40.8,6703.66,73,0
True,False,309.2,9.8,1556,35.7,5817.1,75,0
False,True,309.3,9.8,1506,41.5,6544.88,77,0
False,True,309.4,9.8,1642,30.3,5210.08,80,0
False,True,309.4,9.8,1283,62.1,8343.47,83,0
False,False,309.5,9.8,1375,46.8,6738.72,86,0
True,False,309.4,9.7,1399,39.9,5845.47,91,0
True,False,309.4,9.7,1650,29.8,5149.07,93,0
False,True,309.6,9.8,1346,53.2,7498.69,95,0
False,False,309.6,9.7,1410,51.2,7559.93,98,0
True,False,309.7,9.7,1586,37.8,6278.03,103,0
True,False,309.8,9.8,1372,39.6,5689.55,105,0
False,False,309.7,9.7,1529,42.4,6788.94,107,0
False,True,309.7,9.7,1652,28.6,4947.72,112,0
True,False,309.8,9.7,1532,39.8,6385.14,115,0
True,False,309.7,9.7,1554,32.0,5207.5,117,0
False,False,309.6,9.7,1462,51.0,7808.11,119,0
True,False,309.6,9.7,1254,61.3,8049.83,124,0
True,False,309.6,9.7,1294,49.7,6734.72,126,0
True,False,309.5,9.7,1739,27.5,5007.96,128,0
False,True,309.4,9.6,1412,47.8,7067.91,130,0
False,True,309.5,9.6,1372,56.2,8074.56,133,0
False,False,309.5,9.7,1420,46.7,6944.39,136,0
True,False,309.5,9.7,1542,40.3,6507.56,141,0
False,True,309.4,9.6,1401,48.1,7056.87,143,0
True,False,309.4,9.6,1510,42.5,6720.39,146,0
False,False,309.5,9.6,1547,38.5,6237.06,148,0
False,True,309.5,9.7,1453,43.2,6573.22,153,0
True,False,309.4,9.6,1408,45.6,6723.51,156,0
True,False,309.4,9.6,1436,51.6,7759.48,158,0
False,True,309.5,9.6,1582,38.2,6328.47,160,0
True,False,309.6,9.7,1280,59.3,7948.65,163,0
True,False,309.5,9.6,2008,20.4,4289.66,165,0
True,False,309.5,9.6,1772,23.5,4360.74,167,0
True,False,309.5,9.6,1779,26.1,4862.34,169,0
True,False,309.5,9.6,1567,35.5,5825.4,171,0
False,True,309.4,9.6,1751,27.0,4950.84,173,0
True,False,309.5,9.6,1349,51.3,7246.99,176,0
False,True,309.5,9.5,1425,40.8,6088.41,178,0
True,False,309.4,9.4,1395,44.5,6500.74,181,0
False,False,309.3,9.5,1595,32.1,5361.6,183,0
True,False,309.3,9.5,1291,56.4,7624.9,188,0
False,True,309.4,9.5,1509,42.8,6763.35,190,0
False,True,309.4,9.5,1483,38.1,5916.91,193,0
True,False,309.3,9.4,1620,31.1,5275.99,196,0
False,True,309.4,9.5,1487,42.2,6571.31,198,0
True,False,309.4,9.6,2256,15.9,3756.34,201,0
False,False,309.2,9.5,1691,27.7,4905.15,203,0
False,True,309.3,9.5,1663,35.2,6130.04,208,0
False,True,309.3,9.5,1640,31.1,5341.13,211,0
False,False,309.3,9.6,1494,37.8,5913.86,214,0
True,False,309.4,9.6,1467,46.2,7097.42,219,0
False,True,309.3,9.6,1399,41.9,6138.47,221,1
True,False,309.3,9.6,1445,42.6,6446.23,0,0
True,False,309.4,9.6,1480,40.9,6338.9,2,0
True,False,309.3,9.6,1546,37.2,6022.56,4,0
True,False,309.3,9.6,1574,35.8,5900.87,6,0
True,False,309.3,9.6,1592,34.2,5701.61,8,0
True,False,309.5,9.7,1495,39.6,6199.62,10,0
True,False,309.6,9.8,1447,43.1,6530.92,12,0
True,False,309.5,9.7,1476,44.4,6862.75,14,0
True,False,309.5,9.7,1641,27.1,4657.0,16,0
