record_index,Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min]
638,1,0,309.6,11.6,1536,37.3,5999.69,120
4404,0,1,310.2,7.8,1485,45.9,7137.86,50
6929,0,1,311.6,10.6,1301,55.0,7493.22,9
7444,1,0,311.7,11.5,1286,55.1,7420.3,42
9473,1,0,309.5,10.8,1446,40.0,6056.99,160
3362,1,0,310.6,9.2,1445,43.9,6642.95,210
2997,1,0,309.8,9.3,1345,62.7,8831.17,153
250,1,0,308.3,10.3,1662,32.7,5691.25,0
9917,0,1,308.8,10.3,1557,36.0,5869.75,21
5757,1,0,311.3,9.4,1366,55.6,7953.42,57
3295,1,0,310.2,9.1,1496,43.4,6799.08,54
4306,1,0,310.0,8.4,1869,22.9,4482.02,18
7336,0,0,310.5,10.6,1549,42.8,6942.63,208
9823,0,1,309.3,10.8,1488,43.7,6809.46,189
2143,0,1,308.8,9.5,1442,49.0,7399.29,165
6203,1,0,310.9,9.9,1404,41.8,6145.71,71
3605,1,0,310.7,9.0,1641,31.9,5481.86,192
5399,0,0,312.4,9.6,1411,53.8,7949.47,246
9023,1,0,308.3,10.9,1706,30.9,5520.34,9
8274,1,0,310.5,11.6,1640,29.2,5014.82,195
7387,0,0,310.6,10.8,1423,44.6,6646.12,116
9629,0,0,310.1,11.1,2053,19.7,4235.3,137
4372,0,1,309.6,7.7,1439,41.7,6283.85,201
9007,1,0,308.0,10.6,1383,46.2,6691.03,188
5483,0,1,312.1,9.5,2000,21.9,4586.73,200
5412,1,0,312.6,9.7,1328,59.9,8330.16,24
6596,0,1,310.7,9.2,1454,39.4,5999.14,17
4834,0,1,311.9,8.5,1510,42.2,6672.95,36
7656,1,0,311.6,11.1,1541,47.8,7713.64,156
6536,1,0,310.5,9.2,1406,47.1,6934.81,83
493,1,0,309.3,11.8,1470,38.8,5972.8,197
6108,0,1,310.9,10.1,1678,28.1,4937.72,63
2585,0,1,308.7,9.7,1620,35.4,6005.47,199
6958,1,0,311.0,10.4,1563,40.7,6661.65,87
4501,1,0,310.2,7.7,1307,54.0,7390.91,86
4617,0,1,311.4,8.3,1831,23.3,4467.59,161
6959,1,0,311.0,10.4,1543,34.7,5606.92,89
2631,0,0,309.7,9.7,1529,42.4,6788.94,107
1955,1,0,307.7,9.8,1308,55.2,7560.93,87
6301,0,1,310.6,9.4,1576,39.6,6535.52,109
5706,1,0,311.9,9.5,1290,70.0,9456.19,139
8253,1,0,310.4,11.3,1657,31.0,5379.14,129
5901,1,0,310.7,9.7,1464,45.8,7021.59,184
5834,1,0,311.3,10.0,1434,49.8,7478.37,16
4759,1,0,311.6,8.1,1361,46.5,6627.35,62
525,1,0,309.4,12.0,1466,45.5,6985.12,53
7791,1,0,311.4,11.3,1418,47.7,7083.1,73
7947,1,0,311.7,10.9,1426,45.5,6794.53,16
1841,1,0,307.2,9.5,1668,37.8,6602.62,5
9995,0,1,308.4,9.6,1604,29.5,4955.13,14
6543,1,0,310.8,9.4,1698,29.6,5263.3,99
6584,1,0,310.5,9.0,1372,44.0,6321.72,203
2245,0,1,308.4,9.1,1438,42.3,6369.83,0
1240,1,0,308.6,11.4,1636,31.3,5362.36,192
9359,0,1,308.7,10.6,1581,47.4,7847.64,51
7754,0,1,311.7,11.3,1478,39.9,6175.55,185
8701,0,1,308.7,11.4,1466,38.4,5895.14,27
6501,0,1,310.0,9.1,1600,36.0,6031.86,204
1716,1,0,307.7,9.6,1523,37.7,6012.7,80
7911,1,0,312.1,11.4,1512,36.9,5842.61,153
4977,1,0,312.7,9.0,1540,44.8,7224.83,196
3838,1,0,311.1,8.7,1880,24.5,4823.39,156
6404,0,1,309.7,9.5,1183,61.4,7606.45,170
7522,1,0,311.5,11.4,1334,54.0,7543.59,26
3865,0,0,311.5,8.9,1629,34.4,5868.24,228
1202,0,1,308.1,11.1,1355,51.4,7293.42,76
6653,0,1,310.3,8.9,1610,29.1,4906.23,166
8021,0,1,312.0,11.0,1499,34.6,5431.33,207
7683,1,0,311.7,11.0,1524,43.5,6942.29,222
4604,1,0,311.0,8.1,1820,24.6,4688.51,128
1439,0,1,309.8,11.0,1534,37.0,5943.68,47
6298,1,0,310.5,9.4,1428,44.1,6594.71,103
5679,0,1,311.7,9.5,1466,49.0,7522.44,66
2846,1,0,309.2,8.9,1412,44.8,6624.32,200
7447,0,1,311.9,11.6,1677,30.8,5408.94,48
9623,1,0,310.1,11.2,1356,47.8,6787.6,116
7346,1,0,310.2,10.6,1469,47.0,7230.17,15
1256,0,1,308.9,11.4,1535,37.7,6060.08,12
8702,1,0,308.6,11.4,1774,23.0,4272.78,30
83,1,0,309.0,10.0,1469,40.1,6168.72,13
4795,1,0,312.5,8.9,1431,49.0,7342.84,162
680,0,1,309.1,11.3,1432,42.6,6388.24,17
8408,0,1,309.6,11.1,1572,33.0,5432.44,127
1571,1,0,308.4,10.1,1528,37.3,5968.44,160
4218,0,1,310.6,8.6,1479,40.5,6272.66,24
230,1,0,308.6,10.3,1570,34.8,5721.47,175
9156,0,1,308.4,10.9,1369,54.8,7856.2,145
9989,0,1,308.5,9.7,1577,33.2,5482.75,0
8737,1,0,308.7,11.4,1556,36.7,5980.04,114
9925,0,1,308.7,10.2,1367,47.3,6771.09,47
9248,0,1,309.1,10.8,1488,40.6,6326.41,176
2065,1,0,309.6,9.9,1419,45.1,6701.74,170
9398,0,0,308.2,10.5,1526,40.1,6408.07,165
3933,1,0,311.6,9.0,1576,34.7,5726.83,182
4996,0,1,312.8,9.2,1400,43.2,6333.45,23
8933,0,1,308.3,11.0,1544,41.7,6742.36,6
757,1,0,308.1,11.2,1555,33.7,5487.68,229
2073,1,0,309.4,9.8,1677,31.1,5461.63,191
4901,0,1,312.3,8.7,1630,32.4,5530.46,223
7954,1,0,311.9,10.9,1454,41.9,6379.8,33
3560,1,0,310.7,8.9,1680,32.4,5700.11,76
9738,1,0,310.0,11.0,1509,38.0,6004.84,168
2298,1,0,308.6,9.3,1482,37.6,5835.32,132
5671,0,0,311.6,9.4,1534,37.2,5975.81,41
4909,1,0,312.4,8.9,1481,43.7,6777.43,20
1783,0,0,308.0,9.7,1553,41.0,6667.82,52
8647,1,0,308.5,11.0,1530,38.5,6168.52,93
7097,0,1,310.2,9.6,1233,52.3,6752.95,23
4701,0,0,311.7,8.2,1584,32.7,5424.15,143
8179,1,0,311.3,11.5,1560,35.4,5783.04,178
9804,1,0,309.1,10.7,1467,42.5,6529.01,139
24,0,1,309.4,10.4,1561,37.3,6097.34,70
8990,1,0,307.9,10.7,1493,38.4,6003.71,146
6452,1,0,310.1,9.4,1376,50.8,7319.99,75
2956,0,1,309.6,8.8,1404,38.7,5689.93,44
7208,1,0,309.7,9.9,1707,29.1,5201.82,94
6772,1,0,310.7,9.4,1536,39.3,6321.39,31
2521,1,0,308.6,9.8,1584,34.4,5706.14,42
3765,0,1,311.1,8.7,1443,51.8,7827.53,178
191,1,0,308.4,10.2,1666,34.6,6036.42,74
5134,1,0,313.3,9.2,1438,45.5,6851.71,188
4223,1,0,310.7,8.7,1657,31.9,5535.31,37
4556,0,1,310.6,7.9,1349,51.2,7232.87,6
4083,0,1,310.4,8.4,1567,36.4,5973.09,114
8544,0,0,309.4,10.9,2011,21.0,4422.42,59
4791,0,1,312.7,9.0,1469,48.5,7460.92,147
463,1,0,308.7,11.3,2874,4.2,1264.05,118
6096,0,1,310.7,9.9,1483,40.8,6336.22,28
1594,0,1,308.2,10.2,1373,51.2,7361.55,215
8653,0,1,308.3,10.9,1335,57.9,8094.47,113
7606,0,1,311.3,10.9,1350,56.5,7987.5,31
5043,1,0,313.2,9.1,1468,39.4,6056.91,148
9336,1,0,308.9,10.4,1725,31.9,5762.47,205
9222,0,1,309.0,11.1,1525,38.5,6148.36,113
4339,1,0,309.9,8.2,1524,46.6,7437.03,104
4035,1,0,310.8,8.8,1454,36.6,5572.81,0
461,1,0,308.7,11.3,1402,40.2,5902.05,114
1460,1,0,310.3,11.3,1437,47.8,7193.05,99
1511,1,0,308.7,10.6,1642,30.3,5210.08,3
8557,1,0,309.0,10.7,1471,48.3,7440.27,91
5856,0,0,310.9,9.7,1598,35.9,6007.58,71
1784,1,0,308.0,9.7,2886,3.8,1148.44,57
584,0,0,309.6,12.0,1419,48.2,7162.39,215
6179,0,1,310.9,9.8,1396,45.1,6593.11,12
6211,1,0,310.6,9.8,1360,48.8,6950.04,91
2880,1,0,309.5,8.8,1541,37.2,6003.08,48
3401,0,1,310.7,9.3,1617,34.3,5808.08,101
2858,1,0,309.3,8.8,1417,51.5,7641.98,231
2248,0,1,308.5,9.2,1304,60.6,8275.21,8
7607,0,1,311.3,10.8,1468,41.1,6318.25,34
1296,1,0,309.9,11.2,1621,34.1,5788.5,130
2985,1,0,309.8,9.1,1596,31.5,5264.68,123
291,1,0,308.3,10.3,1473,42.6,6571.14,107
1699,1,0,307.7,9.6,1289,48.3,6519.72,42
826,1,0,307.2,10.7,1481,38.2,5924.44,160
5576,0,0,312.0,9.6,1457,43.4,6621.83,23
8166,1,0,311.1,11.4,1603,31.4,5270.99,141
540,1,0,309.4,12.0,1473,45.5,7018.48,94
3582,1,0,310.6,8.8,1395,50.5,7377.24,131
9485,1,0,309.6,10.7,1589,34.2,5690.87,197
8923,0,1,308.1,11.1,1363,45.3,6465.81,196
7054,0,0,310.5,9.8,1476,43.1,6661.81,134
6476,1,0,309.7,9.2,1384,48.6,7043.7,141
3112,0,1,309.1,9.3,1355,56.7,8045.46,7
1884,0,1,307.6,9.6,1792,26.0,4879.1,119
790,1,0,307.9,11.1,1420,45.4,6751.07,70
3052,1,0,309.2,9.1,1421,42.5,6324.29,61
8536,0,1,309.5,10.9,1426,45.4,6779.6,38
4163,1,0,310.5,8.4,1696,30.9,5487.99,107
3730,0,1,311.2,8.9,1405,47.7,7018.16,88
3136,1,0,309.9,9.5,1435,54.8,8234.95,70
501,0,1,309.3,11.7,1464,46.2,7082.91,218
687,0,1,309.0,11.3,1531,42.4,6797.82,38
9993,1,0,308.4,9.6,1401,47.3,6939.5,10
4468,1,0,310.5,7.8,1725,29.0,5238.61,209
1407,1,0,310.0,11.1,1564,33.8,5535.82,183
4978,1,0,312.7,9.1,1429,47.7,7138.04,198
1593,1,0,308.3,10.3,1544,34.7,5610.55,213
8137,0,0,310.8,11.3,1600,32.4,5428.67,67
4969,1,0,312.7,8.8,1528,38.4,6144.45,177
9498,0,0,310.1,10.9,1542,36.1,5829.35,5
2312,0,1,308.6,9.5,1441,36.2,5462.62,169
5916,1,0,310.2,9.6,1555,41.9,6822.96,19
8486,0,1,309.5,11.0,1501,40.2,6318.81,114
1196,0,1,307.9,10.9,1493,34.7,5425.23,57
5854,1,0,310.9,9.7,1416,53.3,7903.49,66
7507,1,0,311.9,11.4,1750,28.3,5186.25,207
4381,1,0,309.6,7.7,1446,43.2,6541.55,225
6740,1,0,311.2,9.4,1417,55.9,8294.88,156
4317,0,1,310.0,8.5,1417,44.6,6618.1,49
5981,0,1,310.7,10.0,1347,46.5,6559.17,183
1500,0,1,308.7,10.7,2101,17.4,3828.28,198
5969,0,1,310.8,10.4,1491,35.9,5605.32,148
3969,1,0,311.4,9.1,1504,38.7,6095.19,65
8020,0,0,312.0,11.1,1720,27.9,5025.29,202
4186,0,1,310.6,8.4,1570,34.6,5688.59,163
1748,0,0,307.7,9.3,1626,31.1,5295.53,166
3463,1,0,310.5,8.9,1809,25.5,4830.67,40
8450,1,0,310.0,11.6,1559,44.2,7216.01,23
6672,1,0,310.7,9.1,1424,50.5,7530.61,214
3919,0,0,311.5,9.0,1655,32.3,5597.95,142
4076,0,1,310.6,8.6,1539,37.4,6027.52,96
1947,1,0,308.1,9.9,1462,49.9,7639.7,69
856,1,0,307.1,11.0,1898,22.7,4511.81,20
4470,1,0,310.6,7.9,1564,34.3,5617.71,0
2319,0,1,308.8,9.6,1700,33.5,5963.79,185
5485,1,0,312.1,9.5,1344,51.0,7177.91,206
1630,1,0,307.9,10.0,1412,44.5,6579.96,85
7018,0,1,310.7,10.0,1377,46.7,6734.1,36
7182,1,0,310.3,10.0,2158,16.8,3796.55,32
1055,1,0,307.8,11.0,1480,39.4,6106.42,122
4510,1,0,310.2,7.8,1346,62.4,8795.45,106
6954,0,1,311.2,10.4,1429,52.3,7826.41,77
3,1,0,308.6,10.4,1433,39.5,5927.5,7
6197,1,0,310.8,9.9,1493,45.8,7160.67,57
2130,1,0,309.0,9.6,1391,58.2,8477.71,135
5636,1,0,312.0,9.4,1447,45.5,6894.59,173
5692,0,1,311.9,9.5,1313,55.7,7658.59,102
6135,1,0,310.9,9.9,1740,28.9,5265.94,129
1111,0,0,307.4,10.9,1432,49.2,7377.97,64
2356,0,0,308.6,9.3,1498,39.5,6196.37,47
7983,1,0,312.2,11.2,1601,33.0,5532.66,109
4486,0,1,310.5,7.9,1965,20.2,4156.64,40
9897,1,0,309.3,10.5,1357,47.1,6693.13,176
7643,0,0,311.4,11.0,1427,50.7,7576.36,122
2532,1,0,308.7,9.8,1389,44.9,6530.96,69
6466,1,0,309.7,9.3,1740,31.1,5666.8,113
7472,0,1,311.6,11.3,1617,32.5,5503.28,115
1446,0,1,310.2,11.2,1628,35.8,6103.32,64
3550,0,1,311.0,9.1,1432,41.5,6223.29,51
8829,0,1,308.8,11.5,1469,44.1,6784.05,150
9684,0,0,309.9,11.0,1376,51.0,7348.81,32
5623,1,0,312.3,9.4,1578,36.3,5998.49,141
412,1,0,308.6,11.1,1388,48.2,7005.92,203
5715,0,0,311.9,9.7,1597,35.8,5987.1,160
5230,0,1,313.1,9.3,2117,18.6,4123.47,22
5997,0,1,310.2,9.7,1571,34.6,5692.21,228
4613,1,0,311.3,8.2,1403,55.6,8168.85,150
6860,1,0,311.2,10.1,1910,20.2,4040.3,41
8414,1,0,309.8,11.2,1842,20.1,3877.17,142
9550,0,1,311.0,11.5,1451,43.3,6579.36,136
5027,1,0,313.3,9.3,1294,54.6,7398.7,102
5667,1,0,311.4,9.2,2080,19.2,4182.09,31
2459,1,0,308.6,9.6,1297,54.2,7361.53,110
9553,1,0,310.7,11.4,1495,39.2,6137.0,144
733,0,1,308.4,11.3,1421,42.0,6249.88,165
9258,0,0,309.0,10.7,1379,43.2,6238.45,0
1263,1,0,309.2,11.4,1400,56.9,8341.98,34
6477,1,0,309.7,9.2,1841,24.6,4742.61,143
3991,1,0,311.3,9.0,1682,34.4,6059.17,127
8165,1,0,311.0,11.4,1552,33.2,5395.83,139
670,1,0,309.0,11.4,1822,25.4,4846.3,202
4459,1,0,310.4,7.8,1743,26.3,4800.45,191
8979,0,1,307.5,10.6,1332,51.1,7127.77,121
7358,0,1,310.1,10.6,1659,31.5,5472.5,44
8792,1,0,308.5,11.1,1418,51.2,7602.82,52
8059,1,0,311.6,11.4,1540,37.7,6079.82,71
2508,1,0,308.9,9.9,1615,30.6,5175.15,14
9851,0,1,309.3,10.8,1761,27.2,5015.99,49
9202,1,0,308.8,11.0,1548,36.9,5981.72,64
9943,0,1,308.0,9.7,1766,26.0,4808.31,96
9116,0,0,308.7,11.1,1659,32.1,5576.74,49
7702,0,1,311.7,11.0,1701,30.8,5486.35,44
5234,1,0,312.9,9.2,1461,50.1,7665.08,31
836,1,0,307.4,10.8,1368,45.1,6460.87,185
3081,0,1,309.3,9.3,1932,21.8,4410.54,135
3225,1,0,309.4,8.8,1474,40.7,6282.33,87
5018,0,1,313.0,9.1,1620,36.6,6209.04,80
8911,1,0,308.3,11.2,1773,23.8,4418.9,169
9268,1,0,308.8,10.6,1666,31.5,5495.59,30
8906,1,0,308.7,11.4,1592,34.4,5734.96,158
4526,1,0,310.4,8.0,1521,38.5,6132.23,142
9622,1,0,310.0,11.1,1794,27.2,5109.99,114
6618,0,1,310.6,9.0,1309,65.8,9019.74,75
5937,0,1,310.5,9.9,1462,41.3,6323.04,68
8442,1,0,310.0,11.4,1517,39.0,6195.53,4
1978,1,0,307.7,9.7,1442,43.6,6583.86,148
259,0,1,308.2,10.1,1420,63.9,9502.06,19
9090,0,1,307.9,10.7,1747,29.0,5305.42,188
3556,1,0,310.8,8.9,1735,31.5,5723.2,66
4548,1,0,310.5,7.9,1511,37.2,5886.21,197
180,1,0,308.3,10.1,1475,49.9,7707.64,47
7075,1,0,310.5,9.8,1536,47.4,7624.27,192
3928,1,0,311.5,8.9,1442,59.8,9030.15,169
9937,1,0,308.1,9.8,1505,46.1,7265.51,80
8915,1,0,308.3,11.2,1403,54.1,7948.47,179
6512,0,1,310.0,8.9,1433,48.1,7218.05,14
1421,1,0,309.8,11.1,1589,31.8,5291.51,217
4012,0,1,311.2,9.0,1360,52.8,7519.72,176
4389,0,1,310.0,7.9,1355,45.1,6399.48,6
8361,1,0,309.5,10.9,1450,44.3,6726.67,7
4166,0,0,310.6,8.3,1525,48.7,7777.27,114
5044,1,0,313.2,9.1,1412,47.5,7023.55,150
3522,1,0,311.0,9.2,1651,32.5,5619.0,195
3583,1,0,310.7,8.9,1751,29.3,5372.57,133
2456,1,0,308.6,9.5,1555,36.6,5959.92,104
8284,1,0,310.6,11.8,1651,33.3,5757.31,0
529,1,0,309.5,11.9,1569,36.2,5947.85,63
4712,1,0,311.8,8.4,1564,35.9,5879.76,171
5422,0,1,312.4,9.7,1422,44.5,6626.56,49
3815,1,0,310.7,8.5,1769,24.9,4612.71,91
6484,0,0,309.8,9.2,1913,22.5,4507.4,157
6258,0,1,310.7,9.6,1583,40.7,6746.89,2
3848,1,0,310.9,8.6,1720,28.1,5061.32,178
1462,1,0,310.2,11.3,1706,27.6,4930.79,103
9451,0,0,308.7,10.7,1536,39.6,6369.64,99
1453,1,0,310.4,11.3,1450,40.9,6210.41,85
1559,1,0,308.3,10.1,1458,41.8,6382.08,132
9948,1,0,307.8,9.6,1804,25.1,4741.75,108
9767,1,0,309.6,11.0,1563,35.0,5728.69,21
543,0,0,309.3,11.8,1563,36.1,5908.74,100
1619,1,0,307.7,9.8,1590,34.6,5761.05,57
8893,1,0,308.7,11.2,1371,46.5,6676.04,121
5743,0,1,311.6,9.4,1379,42.9,6195.13,13
9264,0,1,309.0,10.7,1526,36.9,5896.71,20
3489,1,0,310.9,9.0,1542,36.7,5926.24,101
1103,0,1,307.4,10.7,1540,38.7,6241.09,45
4892,1,0,312.3,8.6,1922,23.1,4649.37,193
9221,0,1,309.0,11.2,1675,30.0,5262.17,110
8194,1,0,310.7,11.3,1426,45.7,6824.4,213
8728,0,1,308.7,11.5,1398,38.1,5577.77,88
144,0,1,308.4,9.8,1391,42.4,6176.2,169
5124,0,1,313.5,9.3,1557,37.3,6081.71,164
5243,1,0,313.1,9.4,1721,34.8,6271.75,50
661,0,1,309.0,11.4,1427,45.6,6814.24,179
296,1,0,308.5,10.5,1395,46.2,6749.08,122
2967,1,0,309.4,8.8,1369,51.6,7397.45,71
8648,0,1,308.4,11.0,1478,46.2,7150.64,95
8944,1,0,308.3,11.0,1471,38.2,5884.43,37
1483,1,0,308.9,10.9,1578,35.6,5882.82,153
9049,1,0,308.5,11.2,1545,34.3,5549.47,74
8853,1,0,308.9,11.2,1458,41.1,6275.21,14
4304,1,0,310.1,8.5,1694,26.3,4665.5,14
1044,1,0,307.6,11.1,1512,43.6,6903.46,92
6625,0,1,310.7,9.1,1421,44.4,6607.02,94
7571,1,0,311.1,10.8,1606,30.9,5196.76,156
9409,1,0,308.5,10.5,1664,28.3,4931.38,196
3088,0,1,309.1,9.1,1624,30.8,5238.0,155
5247,1,0,313.1,9.5,1405,38.3,5635.13,58
6130,1,0,310.9,9.9,1473,44.2,6817.95,116
1122,1,0,307.6,11.1,1541,38.5,6212.87,98
1388,0,0,310.1,11.2,1491,45.3,7073.01,133
5013,0,1,312.9,9.1,1594,35.2,5875.7,69
3322,1,0,310.5,9.0,1351,52.9,7484.1,116
8932,1,0,308.4,11.0,1474,43.6,6729.96,4
5386,1,0,312.2,9.3,1469,42.0,6461.0,214
3150,1,0,309.8,9.4,1513,32.9,5212.71,117
4038,1,0,310.9,8.9,1546,34.4,5569.25,7
8663,1,0,308.6,11.1,1671,29.4,5144.61,136
8494,1,0,309.5,11.2,1542,36.7,5926.24,134
3439,1,0,310.3,8.9,1492,41.4,6468.41,195
9275,1,0,308.7,10.5,1605,29.4,4941.41,47
6467,1,0,309.7,9.3,1692,27.4,4854.89,115
7969,1,0,312.1,11.2,1711,28.8,5160.25,74
3012,1,0,309.6,9.2,1432,44.7,6703.15,192
2696,1,0,309.6,9.6,1452,46.0,6994.44,51
4212,0,1,310.6,8.6,1392,60.5,8819.08,10
4856,0,1,312.3,8.7,1698,31.3,5565.58,100
4196,0,1,311.0,8.5,1563,35.6,5826.9,190
9495,0,0,310.0,10.7,1373,44.8,6441.35,221
6201,0,1,310.9,9.9,1510,44.5,7036.64,66
9902,0,0,309.3,10.6,1402,45.3,6650.81,190
4106,1,0,310.5,8.6,1425,51.1,7625.43,173
8446,1,0,309.9,11.4,1482,42.1,6533.7,15
1715,1,0,307.8,9.6,1585,34.6,5742.94,78
6055,1,0,310.8,10.1,1475,42.0,6487.39,147
6976,1,0,310.9,10.3,1344,46.7,6572.71,133
4840,1,0,311.9,8.5,1298,63.9,8685.69,59
6510,1,0,310.2,9.1,1455,55.3,8425.91,9
4582,1,0,311.2,8.3,1634,36.9,6314.04,71
440,1,0,308.5,11.1,1389,39.2,5701.87,54
2036,1,0,308.7,9.7,1892,22.8,4517.36,96
8859,1,0,309.1,11.2,1457,44.4,6774.4,28
9167,0,1,308.7,11.1,1392,41.2,6005.72,178
3127,1,0,309.5,9.5,1717,28.3,5088.45,48
4686,0,1,311.6,8.1,1562,34.2,5594.17,107
4270,1,0,310.9,8.3,1331,52.0,7247.86,154
3713,1,0,311.5,9.2,1565,35.6,5834.36,41
3166,0,1,309.7,9.3,1539,37.7,6075.87,156
2596,1,0,308.7,9.7,1426,38.6,5764.15,16
9115,0,1,308.6,11.0,1444,48.2,7288.58,46
6437,1,0,310.0,9.6,1282,66.1,8873.97,40
5744,0,0,311.5,9.3,1482,42.6,6611.29,16
9957,1,0,307.8,9.7,1606,33.0,5549.94,130
7890,1,0,312.4,11.6,1767,25.6,4737.02,105
9532,1,0,310.5,11.3,1384,48.7,7058.2,93
4235,1,0,310.8,8.6,1438,41.4,6234.3,66
1437,0,0,309.9,11.1,1439,45.2,6811.27,40
1778,1,0,308.2,9.6,1325,54.0,7492.7,41
4247,1,0,311.0,8.4,1369,60.0,8601.68,93
7295,0,1,310.5,10.4,1329,57.4,7988.5,99
7825,0,1,311.2,11.3,1579,35.5,5870.01,162
146,0,0,308.4,9.9,1612,36.1,6093.98,174
1367,0,1,310.2,11.4,1581,37.5,6208.57,75
1971,1,0,307.6,9.7,1298,52.7,7163.31,132
2877,0,1,309.4,8.9,1655,32.1,5563.29,37
4744,1,0,311.3,8.0,1393,47.4,6914.46,18
7711,1,0,311.4,11.0,1309,55.5,7607.84,71
6398,1,0,309.7,9.6,1351,58.2,8233.93,155
6719,0,1,310.6,9.2,1431,40.6,6084.07,101
9601,1,0,310.1,11.2,2109,18.0,3975.37,61
8555,1,0,309.0,10.8,1596,37.2,6217.34,87
6987,1,0,311.1,10.4,2437,13.8,3521.79,163
9279,0,1,308.8,10.6,1645,28.2,4857.84,58
5622,1,0,312.2,9.3,1571,40.6,6679.3,139
2280,1,0,308.8,9.4,1390,57.0,8296.95,92
1719,1,0,307.7,9.5,1503,38.3,6028.18,87
4559,1,0,310.7,8.0,1433,43.7,6557.77,13
5879,1,0,311.0,9.6,1701,28.4,5058.84,127
126,1,0,308.6,9.6,1329,60.5,8419.94,120
5306,0,0,313.2,9.2,1612,31.7,5351.22,206
2164,1,0,309.2,9.6,1540,36.7,5918.55,221
1746,1,0,308.0,9.6,1526,41.1,6567.88,162
316,1,0,308.4,10.6,1714,33.2,5959.06,177
4924,0,0,312.3,8.9,1522,42.1,6710.04,62
5459,1,0,312.5,9.4,1453,49.1,7470.95,140
9404,1,0,308.2,10.5,2007,19.3,4056.33,181
6844,0,1,311.4,10.1,1838,23.2,4465.42,215
2966,1,0,309.3,8.7,1601,40.2,6739.78,69
1354,1,0,310.0,11.4,1334,48.0,6705.42,42
6790,0,1,310.7,9.6,2219,16.7,3880.63,79
1166,0,1,308.1,11.0,1506,37.7,5945.59,210
8751,0,1,308.5,11.1,1472,42.0,6474.19,150
3072,1,0,309.0,8.9,1314,58.2,8008.42,114
4597,0,1,311.1,8.1,1490,43.0,6709.39,108
1282,1,0,309.4,11.1,1546,36.1,5844.47,94
7537,1,0,311.3,11.2,1305,64.7,8841.86,66
6542,1,0,310.8,9.4,1543,36.9,5962.4,97
57,1,0,309.1,10.3,1513,40.3,6385.17,160
7453,0,0,311.7,11.4,1432,47.7,7153.03,61
4062,1,0,310.9,8.9,1446,44.0,6662.69,64
2577,1,0,309.4,9.9,1563,41.5,6792.59,183
3572,1,0,310.6,8.8,1451,50.7,7703.78,108
6281,0,1,310.8,9.5,1455,41.2,6277.53,56
6604,0,1,310.6,9.1,1573,37.4,6160.68,37
1750,0,1,307.8,9.4,1617,31.6,5350.89,173
1495,0,0,308.5,10.6,1383,44.6,6459.3,184
381,1,0,308.5,11.0,1546,40.4,6540.63,129
8761,1,0,308.8,11.3,1417,49.8,7389.72,177
630,1,0,310.0,11.7,1460,47.6,7277.6,101
1550,1,0,308.9,10.5,1638,32.4,5557.6,109
1617,1,0,307.8,10.0,1563,34.3,5614.12,53
1229,1,0,308.4,11.3,1304,53.5,7305.67,153
5289,0,1,313.3,9.4,1507,34.3,5412.97,161
1792,0,1,307.7,9.6,1445,48.0,7263.36,73
1837,1,0,307.2,9.5,1392,43.0,6268.11,197
1365,1,0,310.1,11.4,1676,33.5,5879.6,70
5963,0,0,310.7,10.3,1656,36.3,6295.0,127
6759,1,0,311.0,9.3,1441,44.3,6684.92,208
9480,0,1,309.6,10.7,1434,43.8,6577.36,180
6000,0,0,310.2,9.8,1431,43.2,6473.69,0
8191,0,1,310.9,11.3,1630,29.8,5086.66,206
7941,0,1,311.7,11.0,1499,38.9,6106.32,3
3281,0,1,310.0,8.8,1445,45.6,6900.19,18
7405,0,1,310.8,11.0,1530,35.2,5639.79,163
9399,1,0,308.3,10.5,1477,44.8,6929.26,170
5778,0,1,311.1,9.4,1489,41.4,6455.41,108
7784,1,0,311.5,11.2,1403,60.1,8830.0,58
4418,1,0,310.3,7.7,1642,33.2,5708.73,82
8868,1,0,309.0,11.1,1456,46.5,7089.95,52
5097,1,0,313.4,9.2,1457,49.4,7537.29,96
7529,1,0,311.4,11.3,1467,35.7,5484.37,45
9155,1,0,308.5,11.0,1340,57.4,8054.62,143
172,0,1,308.0,9.9,1924,20.8,4190.8,29
9886,1,0,309.6,10.8,1903,22.3,4443.98,145
4231,1,0,310.8,8.6,1340,47.8,6707.51,54
6521,1,0,310.1,9.0,1666,27.2,4745.4,40
7356,1,0,310.2,10.6,1333,51.2,7147.08,40
8496,0,1,309.4,11.1,1816,22.6,4297.87,138
2106,1,0,309.1,9.7,1645,28.6,4926.75,57
5850,1,0,311.1,9.8,1560,35.3,5766.71,55
6727,1,0,310.8,9.3,1785,25.5,4766.58,120
8953,1,0,308.0,10.7,1518,36.0,5722.73,59
1180,0,0,308.4,11.1,1531,35.6,5707.6,16
1907,1,0,307.6,9.7,1504,42.4,6677.94,180
3528,1,0,310.9,8.9,1378,53.1,7662.53,212
9625,0,1,310.1,11.1,1487,47.5,7396.62,123
745,1,0,308.0,11.3,1451,50.7,7703.78,197
8379,1,0,309.9,11.1,1629,31.9,5441.77,49
2476,0,0,308.4,9.5,1449,42.4,6433.73,149
4995,1,0,312.6,9.0,1540,39.8,6418.48,21
1767,0,1,307.7,9.4,1520,41.4,6589.8,10
